t = 0.000000, L = 0.031412, A = 0.000079
t = 1.000000, L = 0.031793, A = 0.000080
t = 2.000000, L = 0.032167, A = 0.000082
t = 3.000000, L = 0.032535, A = 0.000084
t = 4.000000, L = 0.032898, A = 0.000086
t = 5.000000, L = 0.033255, A = 0.000088
t = 6.000000, L = 0.033607, A = 0.000090
t = 7.000000, L = 0.033954, A = 0.000092
t = 8.000000, L = 0.034296, A = 0.000094
t = 9.000000, L = 0.034633, A = 0.000095
t = 10.000000, L = 0.034966, A = 0.000097
t = 11.000000, L = 0.035294, A = 0.000099
t = 12.000000, L = 0.035618, A = 0.000101
t = 13.000000, L = 0.035938, A = 0.000103
t = 14.000000, L = 0.036254, A = 0.000104
t = 15.000000, L = 0.036566, A = 0.000106
t = 16.000000, L = 0.036874, A = 0.000108
t = 17.000000, L = 0.037179, A = 0.000110
t = 18.000000, L = 0.037480, A = 0.000112
t = 19.000000, L = 0.037777, A = 0.000113
t = 20.000000, L = 0.038071, A = 0.000115
t = 21.000000, L = 0.038362, A = 0.000117
t = 22.000000, L = 0.038650, A = 0.000118
t = 23.000000, L = 0.038935, A = 0.000120
t = 24.000000, L = 0.039216, A = 0.000122
t = 25.000000, L = 0.039495, A = 0.000124
t = 26.000000, L = 0.039771, A = 0.000125
t = 27.000000, L = 0.040044, A = 0.000127
t = 28.000000, L = 0.040314, A = 0.000129
t = 29.000000, L = 0.040582, A = 0.000130
t = 30.000000, L = 0.040847, A = 0.000132
t = 31.000000, L = 0.041109, A = 0.000134
t = 32.000000, L = 0.041369, A = 0.000135
t = 33.000000, L = 0.041627, A = 0.000137
t = 34.000000, L = 0.041882, A = 0.000139
t = 35.000000, L = 0.042134, A = 0.000140
t = 36.000000, L = 0.042385, A = 0.000142
t = 37.000000, L = 0.042633, A = 0.000144
t = 38.000000, L = 0.042879, A = 0.000145
t = 39.000000, L = 0.043123, A = 0.000147
t = 40.000000, L = 0.043365, A = 0.000149
t = 41.000000, L = 0.043605, A = 0.000150
t = 42.000000, L = 0.043843, A = 0.000152
t = 43.000000, L = 0.044078, A = 0.000153
t = 44.000000, L = 0.044312, A = 0.000155
t = 45.000000, L = 0.044544, A = 0.000157
t = 46.000000, L = 0.044774, A = 0.000158
t = 47.000000, L = 0.045003, A = 0.000160
t = 48.000000, L = 0.045229, A = 0.000161
t = 49.000000, L = 0.045454, A = 0.000163
t = 50.000000, L = 0.045677, A = 0.000165
t = 51.000000, L = 0.045898, A = 0.000166
t = 52.000000, L = 0.046118, A = 0.000168
t = 53.000000, L = 0.046336, A = 0.000169
t = 54.000000, L = 0.046552, A = 0.000171
t = 55.000000, L = 0.046767, A = 0.000172
t = 56.000000, L = 0.046980, A = 0.000174
t = 57.000000, L = 0.047192, A = 0.000175
t = 58.000000, L = 0.047402, A = 0.000177
t = 59.000000, L = 0.047611, A = 0.000179
t = 60.000000, L = 0.047818, A = 0.000180
t = 61.000000, L = 0.048024, A = 0.000182
t = 62.000000, L = 0.048228, A = 0.000183
t = 63.000000, L = 0.048431, A = 0.000185
t = 64.000000, L = 0.048633, A = 0.000186
t = 65.000000, L = 0.048833, A = 0.000188
t = 66.000000, L = 0.049032, A = 0.000189
t = 67.000000, L = 0.049230, A = 0.000191
t = 68.000000, L = 0.049427, A = 0.000192
t = 69.000000, L = 0.049622, A = 0.000194
t = 70.000000, L = 0.049816, A = 0.000195
t = 71.000000, L = 0.050008, A = 0.000197
t = 72.000000, L = 0.050200, A = 0.000198
t = 73.000000, L = 0.050390, A = 0.000200
t = 74.000000, L = 0.050579, A = 0.000201
t = 75.000000, L = 0.050767, A = 0.000202
t = 76.000000, L = 0.050954, A = 0.000204
t = 77.000000, L = 0.051140, A = 0.000205
t = 78.000000, L = 0.051324, A = 0.000207
t = 79.000000, L = 0.051508, A = 0.000208
t = 80.000000, L = 0.051690, A = 0.000210
t = 81.000000, L = 0.051871, A = 0.000211
t = 82.000000, L = 0.052052, A = 0.000213
t = 83.000000, L = 0.052231, A = 0.000214
t = 84.000000, L = 0.052409, A = 0.000216
t = 85.000000, L = 0.052586, A = 0.000217
t = 86.000000, L = 0.052762, A = 0.000218
t = 87.000000, L = 0.052938, A = 0.000220
t = 88.000000, L = 0.053112, A = 0.000221
t = 89.000000, L = 0.053285, A = 0.000223
t = 90.000000, L = 0.053457, A = 0.000224
t = 91.000000, L = 0.053629, A = 0.000225
t = 92.000000, L = 0.053799, A = 0.000227
t = 93.000000, L = 0.053969, A = 0.000228
t = 94.000000, L = 0.054137, A = 0.000230
t = 95.000000, L = 0.054305, A = 0.000231
t = 96.000000, L = 0.054472, A = 0.000232
t = 97.000000, L = 0.054638, A = 0.000234
t = 98.000000, L = 0.054803, A = 0.000235
t = 99.000000, L = 0.054967, A = 0.000237
t = 100.000000, L = 0.055131, A = 0.000238
t = 101.000000, L = 0.055293, A = 0.000239
t = 102.000000, L = 0.055455, A = 0.000241
t = 103.000000, L = 0.055616, A = 0.000242
t = 104.000000, L = 0.055776, A = 0.000243
t = 105.000000, L = 0.055935, A = 0.000245
t = 106.000000, L = 0.056094, A = 0.000246
t = 107.000000, L = 0.056252, A = 0.000248
t = 108.000000, L = 0.056409, A = 0.000249
t = 109.000000, L = 0.056565, A = 0.000250
t = 110.000000, L = 0.056720, A = 0.000252
t = 111.000000, L = 0.056875, A = 0.000253
t = 112.000000, L = 0.057029, A = 0.000254
t = 113.000000, L = 0.057183, A = 0.000256
t = 114.000000, L = 0.057335, A = 0.000257
t = 115.000000, L = 0.057487, A = 0.000258
t = 116.000000, L = 0.057638, A = 0.000260
t = 117.000000, L = 0.057789, A = 0.000261
t = 118.000000, L = 0.057938, A = 0.000262
t = 119.000000, L = 0.058087, A = 0.000264
t = 120.000000, L = 0.058236, A = 0.000265
t = 121.000000, L = 0.058383, A = 0.000266
t = 122.000000, L = 0.058530, A = 0.000268
t = 123.000000, L = 0.058677, A = 0.000269
t = 124.000000, L = 0.058823, A = 0.000270
t = 125.000000, L = 0.058968, A = 0.000272
t = 126.000000, L = 0.059112, A = 0.000273
t = 127.000000, L = 0.059256, A = 0.000274
t = 128.000000, L = 0.059399, A = 0.000275
t = 129.000000, L = 0.059542, A = 0.000277
t = 130.000000, L = 0.059684, A = 0.000278
t = 131.000000, L = 0.059825, A = 0.000279
t = 132.000000, L = 0.059966, A = 0.000281
t = 133.000000, L = 0.060106, A = 0.000282
t = 134.000000, L = 0.060245, A = 0.000283
t = 135.000000, L = 0.060384, A = 0.000284
t = 136.000000, L = 0.060523, A = 0.000286
t = 137.000000, L = 0.060660, A = 0.000287
t = 138.000000, L = 0.060797, A = 0.000288
t = 139.000000, L = 0.060934, A = 0.000290
t = 140.000000, L = 0.061070, A = 0.000291
t = 141.000000, L = 0.061206, A = 0.000292
t = 142.000000, L = 0.061341, A = 0.000293
t = 143.000000, L = 0.061475, A = 0.000295
t = 144.000000, L = 0.061609, A = 0.000296
t = 145.000000, L = 0.061742, A = 0.000297
t = 146.000000, L = 0.061875, A = 0.000298
t = 147.000000, L = 0.062007, A = 0.000300
t = 148.000000, L = 0.062139, A = 0.000301
t = 149.000000, L = 0.062270, A = 0.000302
t = 150.000000, L = 0.062401, A = 0.000303
t = 151.000000, L = 0.062531, A = 0.000305
t = 152.000000, L = 0.062661, A = 0.000306
t = 153.000000, L = 0.062790, A = 0.000307
t = 154.000000, L = 0.062919, A = 0.000308
t = 155.000000, L = 0.063047, A = 0.000310
t = 156.000000, L = 0.063174, A = 0.000311
t = 157.000000, L = 0.063302, A = 0.000312
t = 158.000000, L = 0.063428, A = 0.000313
t = 159.000000, L = 0.063555, A = 0.000314
t = 160.000000, L = 0.063680, A = 0.000316
t = 161.000000, L = 0.063806, A = 0.000317
t = 162.000000, L = 0.063931, A = 0.000318
t = 163.000000, L = 0.064055, A = 0.000319
t = 164.000000, L = 0.064179, A = 0.000321
t = 165.000000, L = 0.064302, A = 0.000322
t = 166.000000, L = 0.064425, A = 0.000323
t = 167.000000, L = 0.064548, A = 0.000324
t = 168.000000, L = 0.064670, A = 0.000325
t = 169.000000, L = 0.064792, A = 0.000327
t = 170.000000, L = 0.064913, A = 0.000328
t = 171.000000, L = 0.065034, A = 0.000329
t = 172.000000, L = 0.065154, A = 0.000330
t = 173.000000, L = 0.065274, A = 0.000331
t = 174.000000, L = 0.065393, A = 0.000333
t = 175.000000, L = 0.065513, A = 0.000334
t = 176.000000, L = 0.065631, A = 0.000335
t = 177.000000, L = 0.065749, A = 0.000336
t = 178.000000, L = 0.065867, A = 0.000337
t = 179.000000, L = 0.065985, A = 0.000338
t = 180.000000, L = 0.066102, A = 0.000340
t = 181.000000, L = 0.066218, A = 0.000341
t = 182.000000, L = 0.066335, A = 0.000342
t = 183.000000, L = 0.066450, A = 0.000343
t = 184.000000, L = 0.066566, A = 0.000344
t = 185.000000, L = 0.066681, A = 0.000346
t = 186.000000, L = 0.066796, A = 0.000347
t = 187.000000, L = 0.066910, A = 0.000348
t = 188.000000, L = 0.067024, A = 0.000349
t = 189.000000, L = 0.067137, A = 0.000350
t = 190.000000, L = 0.067250, A = 0.000351
t = 191.000000, L = 0.067363, A = 0.000352
t = 192.000000, L = 0.067475, A = 0.000354
t = 193.000000, L = 0.067587, A = 0.000355
t = 194.000000, L = 0.067699, A = 0.000356
t = 195.000000, L = 0.067810, A = 0.000357
t = 196.000000, L = 0.067921, A = 0.000358
t = 197.000000, L = 0.068032, A = 0.000359
t = 198.000000, L = 0.068142, A = 0.000361
t = 199.000000, L = 0.068252, A = 0.000362
t = 200.000000, L = 0.068361, A = 0.000363
t = 201.000000, L = 0.068470, A = 0.000364
t = 202.000000, L = 0.068579, A = 0.000365
t = 203.000000, L = 0.068688, A = 0.000366
t = 204.000000, L = 0.068796, A = 0.000367
t = 205.000000, L = 0.068904, A = 0.000368
t = 206.000000, L = 0.069011, A = 0.000370
t = 207.000000, L = 0.069118, A = 0.000371
t = 208.000000, L = 0.069225, A = 0.000372
t = 209.000000, L = 0.069331, A = 0.000373
t = 210.000000, L = 0.069437, A = 0.000374
t = 211.000000, L = 0.069543, A = 0.000375
t = 212.000000, L = 0.069648, A = 0.000376
t = 213.000000, L = 0.069754, A = 0.000377
t = 214.000000, L = 0.069858, A = 0.000379
t = 215.000000, L = 0.069963, A = 0.000380
t = 216.000000, L = 0.070067, A = 0.000381
t = 217.000000, L = 0.070171, A = 0.000382
t = 218.000000, L = 0.070274, A = 0.000383
t = 219.000000, L = 0.070378, A = 0.000384
t = 220.000000, L = 0.070480, A = 0.000385
t = 221.000000, L = 0.070583, A = 0.000386
t = 222.000000, L = 0.070685, A = 0.000387
t = 223.000000, L = 0.070787, A = 0.000389
t = 224.000000, L = 0.070889, A = 0.000390
t = 225.000000, L = 0.070990, A = 0.000391
t = 226.000000, L = 0.071091, A = 0.000392
t = 227.000000, L = 0.071192, A = 0.000393
t = 228.000000, L = 0.071293, A = 0.000394
t = 229.000000, L = 0.071393, A = 0.000395
t = 230.000000, L = 0.071493, A = 0.000396
t = 231.000000, L = 0.071592, A = 0.000397
t = 232.000000, L = 0.071692, A = 0.000398
t = 233.000000, L = 0.071791, A = 0.000399
t = 234.000000, L = 0.071890, A = 0.000401
t = 235.000000, L = 0.071988, A = 0.000402
t = 236.000000, L = 0.072086, A = 0.000403
t = 237.000000, L = 0.072184, A = 0.000404
t = 238.000000, L = 0.072282, A = 0.000405
t = 239.000000, L = 0.072379, A = 0.000406
t = 240.000000, L = 0.072476, A = 0.000407
t = 241.000000, L = 0.072573, A = 0.000408
t = 242.000000, L = 0.072669, A = 0.000409
t = 243.000000, L = 0.072766, A = 0.000410
t = 244.000000, L = 0.072862, A = 0.000411
t = 245.000000, L = 0.072957, A = 0.000412
t = 246.000000, L = 0.073053, A = 0.000413
t = 247.000000, L = 0.073148, A = 0.000414
t = 248.000000, L = 0.073243, A = 0.000415
t = 249.000000, L = 0.073338, A = 0.000417
t = 250.000000, L = 0.073432, A = 0.000418
t = 251.000000, L = 0.073526, A = 0.000419
t = 252.000000, L = 0.073620, A = 0.000420
t = 253.000000, L = 0.073714, A = 0.000421
t = 254.000000, L = 0.073807, A = 0.000422
t = 255.000000, L = 0.073900, A = 0.000423
t = 256.000000, L = 0.073993, A = 0.000424
t = 257.000000, L = 0.074086, A = 0.000425
t = 258.000000, L = 0.074178, A = 0.000426
t = 259.000000, L = 0.074270, A = 0.000427
t = 260.000000, L = 0.074362, A = 0.000428
t = 261.000000, L = 0.074454, A = 0.000429
t = 262.000000, L = 0.074545, A = 0.000430
t = 263.000000, L = 0.074636, A = 0.000431
t = 264.000000, L = 0.074727, A = 0.000432
t = 265.000000, L = 0.074818, A = 0.000433
t = 266.000000, L = 0.074909, A = 0.000434
t = 267.000000, L = 0.074999, A = 0.000435
t = 268.000000, L = 0.075089, A = 0.000436
t = 269.000000, L = 0.075178, A = 0.000437
t = 270.000000, L = 0.075268, A = 0.000438
t = 271.000000, L = 0.075357, A = 0.000439
t = 272.000000, L = 0.075446, A = 0.000440
t = 273.000000, L = 0.075535, A = 0.000441
t = 274.000000, L = 0.075624, A = 0.000442
t = 275.000000, L = 0.075712, A = 0.000443
t = 276.000000, L = 0.075800, A = 0.000444
t = 277.000000, L = 0.075888, A = 0.000445
t = 278.000000, L = 0.075976, A = 0.000447
t = 279.000000, L = 0.076063, A = 0.000448
t = 280.000000, L = 0.076150, A = 0.000449
t = 281.000000, L = 0.076237, A = 0.000450
t = 282.000000, L = 0.076324, A = 0.000451
t = 283.000000, L = 0.076411, A = 0.000452
t = 284.000000, L = 0.076497, A = 0.000453
t = 285.000000, L = 0.076583, A = 0.000454
t = 286.000000, L = 0.076669, A = 0.000455
t = 287.000000, L = 0.076755, A = 0.000456
t = 288.000000, L = 0.076841, A = 0.000457
t = 289.000000, L = 0.076926, A = 0.000458
t = 290.000000, L = 0.077011, A = 0.000459
